event_name,platforms
Ladies' Business Networking Meeting: Elevate & Connect (February),Not Found
Puffy Heart Garland Workshop,Not Found
STEVE STRONGMAN Feb 1 at The SHED!,Not Found
Misdirection: Magic and Mind Reading Show | Hamilton,Not Found
Hamilton Wedding Expo Winter 2026,Not Found
Weird Art Hang: Stuffed Animal Taxidermy,Not Found
DRAWING and PAINTING  for Kids,Not Found
"Risky Business '80s Night - Saturday, February 7, 2026",Not Found
The Founder's Circle: A Galentine Business Workshop,Not Found
Outstanding Oakville Scavenger Hunt,Not Found
Full Moon Ceremony,Not Found
Blues and Roots Matinee Sessions at The Upper Coach,Not Found
Honky Tonk Heroes: An Evening Of Classic Country Music,Not Found
NRP Refresher Course for MCH NICU Team - FEB 05 (AM),Not Found
Judge & Jury Stand-up Comedy,Not Found
Oakville Speed Dating (Ages 45-55F/48-58M),Not Found
Valentine's Make & Decorate Your Own Dough Bowl Candle Centerpiece!,Not Found
Gintervention - a Zero-Proof Mixology Class,Not Found
Tea on the Ton - A Bridgerton Inspired Tea on the Train,Not Found
Full Moon Cacao Ceremony,Not Found
Burlington Business Networking Meeting (February),Not Found
Fundamentals of Tracheostomy Care -  FEB 06,Not Found
Valentine's Cookie Class,Not Found
Crystal Bowl + Sound Bath to Clear Stress,Not Found
0 to 1 Million Followers - Digital Scaling Masterclass,Not Found
Decoding Inflation & Economic Indicators - 1 Day Session in Burlington,Not Found
Sip & Pour: Galentines Day Edition,Not Found
Galentine's Paint Night,Not Found
Ecstatic Dance & Cacao Ceremony with Sound Healing,Not Found
Peer Support Group,Not Found
Medical Aesthetic Coffee Chat,Not Found
Valentine's Day - Paint a pottery mug for couples in Oakville,Not Found
Power BI & Tableau Data Visualisation Basics: 1 Day Session in Burlington,Not Found
Applied Python for Data Science: 1 Day Workshop in Burlington,Not Found
Mid-Life Retirement Planning Essentials: 1 Day Session in Burlington,Not Found
PHP & MySQL Fundamentals: 1 Day Workshop in Burlington,Not Found
Espresso Essentials & Milk Steaming 101 @ ECS Coffee Burlington,Not Found
Relaxation Yoga with Bunnies,Not Found
Paint Nite Brand Creative Events,Not Found
Family Paint Party,Not Found
Paint & Unwind: Guided Canvas Painting at Terra Greenhouse - Burlington,Not Found
"Combo Lean 6 Sigma (Green + Black Belt) Cert Training in Burlington, ON",Not Found
Heartsaver� CPR AED - Level C - FEB 20 PM,Not Found
